text	normalized	phones	ipa	style	source	status	reviewer	notes_or_phones_google
visakhapatnam	visakhapatnam	b i . s aa . kh aa . p ax . tx ax . n ax m		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b i . s aa . kh aa . p ax . tt ax . n ax m
viscount	viscount	bh i s . k aaw n tx		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh i s . k aaw n tt
vishal	vishal	b i . s aa l		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b i . s aa l
vishuddha	vishuddha	b i . s u d . dh ax		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b i . s u d . dh ax
vishvamitra	vishvamitra	b i s . s w aa . m i t . t r ax		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b i s . s w aa . m i t . t r ax
vishwa	vishwa	w i s . s w ax		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=w i s . s w ax
vishwatma	vishwatma	b i s . s w aa t . m aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b i s . s w aa t . m aa
vishwavidyalaya	vishwavidyalaya	b i s . s w ax . b i d . d y aa . l ax . y ax		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b i s . s w ax . b i d . d y aa . l ax . y ax
vision	vision	bh i . dz ax n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh i . jh ax n
visiting	visiting	bh i . dz i . tx i ng		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh i . jh i . tt i ng
visteon	visteon	bh i s . tx e n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh i s . tt e n
visual	visual	bh i . dz u . y ax l		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh i . jh u . y ax l
viswanathan	viswanathan	b i s . s w ax . n aa . th ax n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b i s . s w ax . n aa . th ax n
viswavidyalaya	viswavidyalaya	b i s . s w ax . b i d . d y aa . l ax . y ax		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b i s . s w ax . b i d . d y aa . l ax . y ax
vitamin	vitamin	bh i . tx aa . m i n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh i . tt aa . m i n
vixen	vixen	bh i k . s e n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh i k . s e n
vocational	vocational	bh o . k e . s ax . n ax l		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh o . k e . s ax . n ax l
vodka	vodka	bh o dx . k aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh o dd . k aa
vogue	vogue	bh o g		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh o g
vohra	vohra	bh o h . r aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh o h . r aa
voice	voice	bh oj s		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh oj s
voicemail	voicemail	bh oj s . m e l		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh oj s . m e l
volkswagen	volkswagen	bh o k . s w aa . g ax n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh o k . s w aa . g ax n
volleyball	volleyball	bh ax . l i . b ax l		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh ax . l i . b ax l
voltage	voltage	bh o l . tx e dz		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh o l . tt e jh
volumes	volumes	bh o . l y u m s		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh o . l y u m s
volvulus	volvulus	bh o l . bh u . l ax s		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh o l . bh u . l ax s
vonage	vonage	bh o . n e dz		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh o . n e jh
vowels	vowels	bh aa . w e l s		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh aa . w e l s
vrindavan	vrindavan	b r i n . d aa . w ax n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b r i n . d aa . w ax n
vulture	vulture	bh ax l . ts ax r		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh ax l . ts ax r
vulvar	vulvar	bh ax l . bh ax r		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh ax l . bh ax r
vyasa	vyasa	b y aa . s ax		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b y aa . s ax
w	w	dx ax . b l u		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=dd ax . b l u
wadhwa	wadhwa	w aa dh . w aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=w aa dh . w aa
